2024-07-26 19:18:24.169 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 24 ms. Found 2 JPA repository interfaces.
2024-07-26 19:18:24.389 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 5555 (http)
2024-07-26 19:18:24.394 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-5555"]
2024-07-26 19:18:24.394 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-07-26 19:18:24.394 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26]
2024-07-26 19:18:24.424 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-07-26 19:18:24.424 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 769 ms
2024-07-26 19:18:24.501 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-07-26 19:18:24.524 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
2024-07-26 19:18:24.544 [main] INFO  o.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-07-26 19:18:24.696 [main] INFO  o.s.o.j.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-07-26 19:18:24.710 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-07-26 19:18:24.878 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@4b76251c
2024-07-26 19:18:24.879 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-07-26 19:18:25.283 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-07-26 19:18:25.354 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-07-26 19:18:25.724 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-5555"]
2024-07-26 19:18:25.730 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 5555 (http) with context path '/'
2024-07-26 19:18:25.736 [main] INFO  com.leuan.lepton.LeptonApplicationKt - Started LeptonApplicationKt in 2.302 seconds (process running for 2.493)
2024-07-26 19:18:30.485 [http-nio-5555-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-07-26 19:18:30.487 [http-nio-5555-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-07-26 19:18:30.488 [http-nio-5555-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-07-26 19:18:44.161 [http-nio-5555-exec-4] INFO  com.leuan.lepton.tenant.service.TenantService - 保存租户成功|{"id":8,"name":"主租户"}
2024-07-26 19:18:44.870 [http-nio-5555-exec-5] INFO  com.leuan.lepton.tenant.service.TenantService - 保存租户成功|{"id":9,"name":"主租户"}
2024-07-26 19:18:45.568 [http-nio-5555-exec-6] INFO  com.leuan.lepton.tenant.service.TenantService - 保存租户成功|{"id":10,"name":"主租户"}
2024-07-26 19:18:46.277 [http-nio-5555-exec-7] INFO  com.leuan.lepton.tenant.service.TenantService - 保存租户成功|{"id":11,"name":"主租户"}
2024-07-26 19:18:46.911 [http-nio-5555-exec-8] INFO  com.leuan.lepton.tenant.service.TenantService - 保存租户成功|{"id":12,"name":"主租户"}
2024-07-26 19:18:47.603 [http-nio-5555-exec-9] INFO  com.leuan.lepton.tenant.service.TenantService - 保存租户成功|{"id":13,"name":"主租户"}
2024-07-26 19:18:48.240 [http-nio-5555-exec-10] INFO  com.leuan.lepton.tenant.service.TenantService - 保存租户成功|{"id":14,"name":"主租户"}
2024-07-26 19:18:48.879 [http-nio-5555-exec-2] INFO  com.leuan.lepton.tenant.service.TenantService - 保存租户成功|{"id":15,"name":"主租户"}
2024-07-26 19:18:49.450 [http-nio-5555-exec-1] INFO  com.leuan.lepton.tenant.service.TenantService - 保存租户成功|{"id":16,"name":"主租户"}
2024-07-26 19:18:50.126 [http-nio-5555-exec-3] INFO  com.leuan.lepton.tenant.service.TenantService - 保存租户成功|{"id":17,"name":"主租户"}
2024-07-26 19:18:50.638 [http-nio-5555-exec-4] INFO  com.leuan.lepton.tenant.service.TenantService - 保存租户成功|{"id":18,"name":"主租户"}
2024-07-26 19:19:33.691 [main] INFO  com.leuan.lepton.LeptonApplicationKt - Starting LeptonApplicationKt using Java 17.0.10 with PID 5303 (/Users/yangyang/Projects/lepton/lepton-application/build/classes/kotlin/main started by yangyang in /Users/yangyang/Projects/lepton)
2024-07-26 19:19:33.693 [main] INFO  com.leuan.lepton.LeptonApplicationKt - The following 1 profile is active: "dev"
2024-07-26 19:19:34.160 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
